,Food,Size,Calories,Fat,Carbs,Protein,Price
81,"Pasta Carbonara With Chicken
",,2340,1420,141,85,See Price
82,"Evelyn’s Favorite Pasta
",,1690,1000,144,34,See Price
83,"Louisiana Chicken Pasta
",,2120,1120,168,83,See Price
84,"Pasta Da Vinci
",,1560,750,129,72,See Price
85,"Pasta With Shrimp And Sausage
",,1780,960,158,70,See Price
86,"Farfalle With Chicken And Roasted Garlic
",,2060,1110,153,88,See Price
87,"Spicy Chicken Chipotle Pasta
",,1290,610,123,48,See Price
88,"Bistro Shrimp Pasta
",,1370,740,118,40,See Price
89,"Shrimp With Angel Hair
",,1040,490,108,39,See Price
90,"Cajun Jambalaya Pasta
",,1560,520,135,125,See Price
91,"Fish & Chips
",,1860,1090,133,53,See Price
92,"Fried Shrimp Platter
",,1920,940,191,50,See Price
93,"Shrimp Scampi
",,1350,690,123,45,See Price
94,"Shrimp And Chicken Gumbo
",,1450,740,93,85,See Price
95,"Jamaican Black Pepper Shrimp
",,1260,250,186,67,See Price
96,"Thai Glazed Salmon
",,1040,280,121,70,See Price
97,"Fresh Grilled Salmon
",,1240,720,66,63,See Price
98,"Herb Crusted Filet Of Salmon
",,1310,800,64,63,See Price
99,"Miso Salmon
",,1340,610,120,64,See Price
100,"Shrimp Scampi And Steak Diane
",,1780,1140,87,72,See Price
101,"Chicken Madeira And Steak Diane
",,1550,880,79,88,See Price
102,"Steak Diane And Herb Crusted Salmon
",,1710,1090,74,81,See Price
103,"Steak Diane
",,1150,580,67,76,See Price
104,"Hibachi Steak
",,1380,770,97,57,See Price
105,"Grilled Rib-Eye Steak
",,1230,720,55,74,See Price
106,"Filet Mignon
",,860,350,54,73,See Price
107,"French Fries
",,1060,410,152,11,See Price
108,"Sweet Potato Fries
",,1010,470,25,7,See Price
109,"Mashed Potatoes
",,450,230,49,5,See Price
110,"Macaroni & Cheese
",,1550,980,92,50,See Price
111,"Green Beans
",,150,100,9,3,See Price
112,"Corn Succotash
",,300,140,31,9,See Price
113,"Sauteed Spinach
",,250,180,12,9,See Price
114,"Grilled Asparagus
",,130,70,8,6,See Price
115,"Caesar Salad
",,1270,1000,41,21,See Price
116,"Caesar Salad With Chicken
",,1500,1070,41,60,See Price
117,"Sheila’s Chicken And Avocado Salad
",,1830,1090,132,64,See Price
118,"Chinese Chicken Salad
",,1740,960,141,59,See Price
119,"Luau Salad
",,1360,750,101,53,See Price
120,"Barbeque Ranch Chicken Salad
",,2150,1230,161,66,See Price
121,"Santa Fe Salad
",,1730,1020,106,76,See Price
122,"Cobb Salad
",,1540,1110,35,74,See Price
123,"Seared Tuna Tataki Salad
",,490,260,17,42,See Price
124,"Renee’s Special
",,790,390,69,32,See Price
125,"Chicken Salad Sandwich
",,1140,630,76,50,See Price
126,"The Club
",,1210,540,111,56,See Price
127,Grilled Chicken And Avocado Club,,1080,690,15,82,See Price
128,"Cuban Sandwich
",,1190,640,64,71,See Price
129,"Chicken Parmesan Sandwich
",,1960,1180,99,107,See Price
130,"Southwest Chicken Sandwich
",,1160,600,87,55,See Price
131,"California Cheesesteak
",,1470,710,130,61,See Price
132,"Original
",,830,530,63,12,See Price
133,"Fresh Strawberry
",,1000,620,82,12,See Price
134,"Chocolate Hazelnut Crunch Cheesecake
",,1390,870,118,15,See Price
135,"Salted Caramel Cheesecake
",,1240,660,130,15,See Price
136,"Toasted Marshmallow S’Mores Galore
",,1550,970,141,14,See Price
137,"Dream Extreme Cheesecake
",,1620,890,177,17,See Price
138,"Lemon Meringue Cheesecake
",,1170,660,117,13,See Price
139,"Adam’s Peanut Butter Cup Fudge Ripple
",,1280,740,121,19,See Price
140,"Godiva® Chocolate Cheesecake
",,1400,950,110,15,See Price
141,"Ultimate Red Velvet Cake Cheesecake
",,1580,1050,125,14,See Price
142,"Reese’s® Peanut Butter Chocolate Cake Cheesecake
",,1530,850,157,23,See Price
143,"30th Anniversary Chocolate Cake Cheesecake
",,1310,770,127,16,See Price
144,"Dulce De Leche Caramel Cheesecake
",,1390,920,106,15,See Price
145,"White Chocolate Raspberry Truffle
",,1220,800,92,13,See Price
146,"Mango Key Lime Cheesecake
",,1280,750,128,13,See Price
147,"White Chocolate Caramel Macadamia Nut Cheesecake
",,1560,1000,131,13,See Price
148,"Lemon Raspberry Cream Cheesecake
",,1060,660,87,11,See Price
149,"Tiramisu Cheesecake
",,960,620,76,11,See Price
150,"Chocolate Mousse Cheesecake
",,1220,850,85,13,See Price
151,"Vanilla Bean Cheesecake
",,1170,790,84,11,See Price
152,"Chocolate Tuxedo Cream® Cheesecake
",,1250,810,109,11,See Price
153,"Hershey’s® Chocolate Bar Cheesecake
",,1380,800,140,15,See Price
154,"Chocolate Chip Cookie-Dough Cheesecake
",,1420,910,116,16,See Price
155,"Key Lime Cheesecake
",,1160,780,92,13,See Price
156,"Low Carb Cheesecake
",,610,500,42,13,See Price
157,"Low Carb Cheesecake With Strawberries
",,620,500,44,13,See Price
158,"Caramel Pecan Turtle Cheesecake
",,1330,810,126,16,See Price
159,"A La Mode 
",,400,220,36,8,See Price
160,"Linda’s Fudge Cake
",,1450,590,233,13,See Price
161,Carrot Cake,,1720,1100,146,15,See Price
162,"Lemoncello Cream Torte
",,1150,630,119,10,See Price
163,"Black-Out Cake
",,1560,770,195,21,See Price
164,"Warm Apple Crisp
",,1530,300,309,10,See Price
165,"Tiramisu
",,1270,850,91,13,See Price
166,"Chocolate Tower Truffle Cake
",,1770,1000,192,20,See Price
167,"Fresh Strawberry Shortcake
",,1340,690,143,25,See Price
168,"Bowl Of Fresh Strawberries
",,250,130,26,3,See Price
169,"Hot Fudge Sundae
",,1280,770,116,20,See Price
170,"Godiva® Chocolate Brownie Sundae
",,1750,1060,168,25,See Price
171,"Bowl of Vanilla Ice Cream
",,750,460,60,13,See Price
172,"Chocolate, Vanilla Or Strawberry
",,1260,600,143,22,See Price
173,"Oreo Milkshake
",,1630,810,182,26,See Price
174,"Strawberry Fruit Smoothie
",,320,25,74,2,See Price
175,"Peach Smoothie
",,330,0,82,2,See Price
176,"Tropical Smoothie
",,370,25,88,1,See Price
177,"Frozen Iced Mango
",,370,20,88,2,See Price
178,Cafe,,430,420,48,11,See Price
179,Cappuccino,,100,25,11,7,See Price
180,"Cafe Mocha
",,630,420,48,11,See Price
181,"Double Espresso
",,5,0,1,0,See Price
182,"Caramel Royale Macchiato
",,660,310,79,9,See Price
183,"Factory Hot Chocolate
",,820,490,77,12,See Price
184,"Freshly Brewed Coffee
",,5,0,1,0,See Price
185,"Cold Brew Iced Coffee
",,5,0,0,0,See Price
186,"Certified Organic Black And Herb Teas
",,0,0,0,0,See Price
187,"Freshly Brewed Black, Green or Tropical Iced Teas
",,0,0,0,0,See Price
188,"Strawberry
",,330,0,0,1,See Price
189,"
Raspberry",,320,0,85,1,See Price
190,"Cucumber
",,340,0,90,1,See Price
191,"Arnold Palmer
",,160,0,42,0,See Price
192,"Soft Drinks
",,100,0,27,0,See Price
193,"Fiji Natural Artesian Water
",,0,0,0,0,See Price
194,"San Pellegrino Water
",,0,0,0,0,See Price
195,"Fresh Orange Juice
",,170,5,39,3,See Price
196,"Greek Salad
",,740,610,19,14,See Price
197,"Little House Salad
",,260,210,10,2,See Price
198,"Edamame
",,100,25,11,8,See Price
199,"Chicken Samosas
",,480,250,29,26,See Price
200,"Skinnylicious® Grilled Artichoke
",,450,190,56,7,See Price
201,"Crispy Crab Bites
",,410,270,19,15,See Price
202,"Chicken Pot Stickers
",,420,120,61,44,See Price
203,"Fresh Basil, Tomato And Cheese
",,850,340,84,42,See Price
204,"Tossed Green Salad
",,140,50,19,5,See Price
205,"French Country Salad
",,500,360,28,9,See Price
206,"Skinnylicious® Caesar Salad
",,570,420,26,12,See Price
207,Skinnylicious Caesar Salad With Chicken,,800,490,26,51,See Price
208,"Skinnylicious® Factory Chopped Salad
",,530,270,34,35,See Price
209,"Skinnylicious® Asian Chicken Salad
",,590,210,53,44,See Price
210,"Mexican Tortilla Salad
",,570,220,59,30,See Price
211,"Seared Tuna Tataki Salad
",,490,260,17,42,See Price
212,"Skinnylicious® Hamburger
",,570,270,41,35,See Price
213,"Skinnylicious® Grilled Turkey Burger
",,560,270,45,29,See Price
214,"Skinnylicious® Turkey & Avocado Sandwich
",,550,230,43,38,See Price
215,"SkinnyLicious® Chicken Soft Tacos
",,510,140,63,32,See Price
216,"SkinnyLicious® Shrimp Soft Tacos
",,510,130,66,31,See Price
217,"Skinnylicious® Chicken Pasta
",,590,140,76,46,See Price
218,"White Chicken Chili
",,590,140,33,79,See Price
219,"Tuscan Chicken
",,590,190,19,81,See Price
220,"Lemon-Garlic Shrimp
",,520,170,51,33,See Price
221,"Skinnylicious® Grilled Salmon
",,570,310,21,44,See Price
222,"Grilled Steak Medallions
",,440,170,24,45,See Price
