,Food,Size,Calories,Fat,Carbs,Protein
54,Eggs ,,50,4,0,4
55,French Dressing,,130,12,6,0
56,French Fries ,,290,13,42,3
57,Garden Vegetable Soup,,35,0,8,2
58,Fettuccine Alfredo,,1000,64,73,24
59,Garlic Margarine ,,270,29,1,0
60,Grapes,,15,0,4,0
61,Greek Salad,,50,4,2,1
62,Green Onions,,5,0,1,0
63,Grilled Shrimp Skewers (2) served on Cilantro Lime Rice,,350,16,42,33
64,Green Beans,,5,0,1,0
65,Grilled Salmon served on Rice Pilaf,,530,20,40,47
66,Grilled Chicken Club Sandwich,,650,28,48,47
67,Green Bell Peppers,,5,0,1,0
68,Honey Mustard Dressing,,110,8,9,0
69,"Hibachi Chicken, Single",,180,4,7,28
70,Honey Butter,,280,27,7,0
71,Grilled Shrimp Skewers (3) served on Cilantro Lime Rice,,510,69,37,89
72,Hibachi Sauce,,45,0,10,1
73,Half Dozen Fried Shrimp,,300,9,34,20
74,"Hibachi Chicken, Double",,340,8,9,56
75,Honeydew Melon,,25,0,5,0
76,Kidney Beans,,25,0,4,1
77,Jicama,,5,0,1,0
78,Italian Dressing,,80,8,2,0
79,Italian Herb Chicken,,290,16,3,33
80,Kids BBQ Grilled Chicken & Apples,,290,3.5,26,37
81,Kids Cheese Pizza,,390,16,47,15
82,Kids Fried Shrimp,,240,6,26,16
83,Kids Dino Chicken Nuggets,,280,16,17,15
84,Kids Grilled Cheese,,400,26,28,12
85,Kids Petite Steak,,300,16,1,35
86,Kids Macaroni & Cheese,,490,16,68,17
87,Kids Sizzler Burger,,520,21,45,35
88,"Lemon Herb Chicken, Double",,320,10,0,56
89,"Lemon Herb Chicken, Single",,170,6,0,28
90,Lemon Herb Sauce,,45,4,1,0
91,Low Fat Italian Dressing,,40,3,3,0
92,"Loaded Baked Potato (with butter, sour cream, cheese, bacon bits, onions)",,450,22,52,11
93,Malibu Chicken Sandwich,,700,37,59,31
94,Macaroni Salad,,220,12,27,3
95,"Malibu Chicken, Single",,360,25,11,22
96,Mushrooms,,5,0,1,1
97,"Malibu Chicken, Double",,730,50,23,43
98,Menudo Soup,,70,2,7,6
99,Malibu Sauce,,270,30,0,0
100,Peas,,15,0,3,1
101,Petite Steak,,300,16,1,35
102,Parmesan Cheese,,50,4,1,5
103,Pineapple,,30,0,7,0
104,Navy Bean Soup,,90,1,16,6
105,NY Strip Steak,,810,57,1,70
106,"Pork Chop (Double), served with Applesauce",,710,47,15,57
107,"Pork Chop (Single), served with Applesauce",,420,27,15,29
108,Radishes,,5,0,1,0
109,Raisins,,70,0,16,1
110,Potato Salad,,330,27,18,2
111,Red Cabbage,,5,0,1,0
112,"Ribs, Half Rack",,620,39,37,28
113,Rice Pilaf,,220,4,39,5
114,Red Onions,,15,0,3,0
115,"Ribs, Full Rack",,1160,79,51,57
116,Rib Eye Steak,,1060,66,1,105
117,Ranch Dressing,,110,12,1,0
118,Roasted Corn & Peppers,,25,1,5,1
119,Romaine & Iceberg Lettuce Mix,,0,0,0,0
120,Sauteed Spinach,,110,8,6,4
121,Savory Butter,,380,43,0,0
122,Seafood Salad,,160,11,11,6
123,Shrimp Scampi,,630,55,4,30
124,Sicilian Pasta Salad,,60,4,6,1
125,Signature Blue Cheese Dressing,,110,11,1,1
126,Spinach,,0,0,0,0
127,Split Pea Soup,,200,4,30,12
128,Spring Lettuce Mix,,0,0,1,0
129,Spinach Cranberry Salad,,45,3,6,1
130,Southwest Chicken Bowl,,720,24,78,48
131,Steak & Grilled Shrimp Skewers served on Rice Pilaf,,680	,31,42,54
132,Steak & Hibachi Chicken,,480,20,7,64
133,"Steak & Colossal Shrimp, served on Rice Pilaf",,860,44,43,69
134,Steak & Lobster Tail,,410,17,2,59
135,Steak & Italian Herb Chicken,,590,32,4,68
136,Steak & Lemon Herb Chicken,,490,24,2,63
137,Steak & Malibu Chicken,,660,41,12,56
138,Strawberries ,,0,0,0,0
139,Strawberry Banana Salad,,80,0,19,1
140,Steak & Unlimited Shrimp,,1020,35,80,84
141,The Sizzler Steak,,590,32,1,70
142,Thousand Island Dressing,,100,9,5,1
143,Three Bean Salad,,25,1,5,1
144,Sunflower Seeds,,120,11,3,4
145,Tomato Basil Soup,,80,4,8,1
146,Turkey Ham,,40,3,1,2
147,Tuna Pasta Salad,,210,19,1,8
148,Unlimited Shrimp,,720,19,79,48
149,"Ultimate Shrimp Platter (Jumbo Fried, Scampi and Crispy Shrimp)",,1010,39,103,63
150,Waldorf Salad,,130,8,16,1
151,Vegetable Medley,,80,4,9,3
152,Zucchini,,5,0,1,0
153,Watermelon,,20,0,4,0
154,Vegetable Steak Soup,,110,6,10,4
