,Food,Size,Calories,Fat,Carbs,Protein
139,Add Spicy Garlic,,50,4,3,0
140,Add Sweet BBQ,,45,0,10,0
141,Add Teriyaki,,60,0,14,2
142,Add Thai Curry,,140,14,4,1
143,Add Wild,,50,4,3,0
144,Add Buffalo,,5,0,1,0
145,Add Chipotle BBQ,,5,0,1,0
146,Add Desert Heat,,5,0,1,0
147, Add Lemon Pepper,,5,0,1,0
148,Add Salt & Vinegar,,5,0,1,0
149,Boneless Wings,,330-440,17-27,27-30,17-18
150,Add Signature Sauce - 1 fl. oz.,,35-140,0-14,2-20,0-2
151,Cheeseburger,,610,38,36,29
152,Crispy Chicken Tenders,,420-700,21-49,31-39,27-28
153,Add Signature Sauce - 2 fl. oz.,,70-280,0-28,4-40,0-2
154,Hamburger,,540,33,35,26
155,Mac & Cheese,,540,28,52,19
156,Mini Corn Dogs,,310,20,24,8
157,Naked Chicken Tenders,,140-420,1-29,0-8,32-34
158,Add Signature Sauce - 2 fl. oz. ,,70-280,0-28,4-40,0-2
159,Traditional Wings,,290-390,16-26,0-3,36
160,Add Signature Sauce - 1/2 fl. oz,,15-70,0-7,1-10,0-1
161,Carrot Sticks,,20,0,5,0
162,Celery Sticks,,15,0,2,1
163,French Fries,,330,15,44,4
164,Mandarin Oranges,,40,0,9,0
165,Lowfat Chocolate Milk,,150,2.5,25,7
166,Lowfat White Milk,,80,0,11,7
167,Apple Juice,,80,0,18,0
168,Grapefruit Juice,,60,0,13,1
169,Orange Juice,,70,0,20,1
170,Pineapple Juice,,80,0,19,1
171,Diet Pepsi,,0,0,0,0
172,Dr Pepper,,60,0,17,0
173,Lemonade,,80,0,19,0
174,Mist Twst,,60,0,16,0
175,Mountain Dew,,70,0,19,0
176,Mug Root Beer,,60,0,18,0
177,Pepsi,,60,0,18,0
178,"Boneless Wings, Snack/Small, with Signature Sauce/
Seasoning",,660-1280,34-79,54-122,35-56
179,Chicken Street Tacos,,560,36,29,31
180,"Classic Chicken Wrap, with Grilled Chicken Breast or
Crispy Tenders",,570/710,20/31,56/76,42/33
181,Add Signature Sauce - 2 fl. oz.,,70-280,0-28,4-40,0-2
182,"Garden Salad, with Lemon Vinaigrette",,370,25,29,7
183,"Garden Chicken Salad, with Lemon Vinaigrette and
Grilled Chicken or Crispy Tenders with Signature
Sauce",,440-790,27-53,29-53,20-25
184,Grilled Chicken Buffalito - 1 ea,,250,11,19,20
185,Add Signature Sauce - 1 fl. oz.,,35-140,0-14,2-20,0-2
186,Hamburger,,730,49,37,36
187,Add cheese,,50-90,3.5-7,0-4,2-5
188,Hickory Pulled Pork Sandwich,,1040,43,123,38
189,"Honey BBQ Chicken Salad, with Honey BBQ Ranch
Dressing",,660,45,39,23
190,Naked or Crispy Tenders - 4 ea,,190/560,1.5/28,0/41,43/36
191,Add Signature Sauce - 2 fl. oz,,70-280,0-28,4-40,0-2
192,Southwest Philly Sandwich,,680,33,49,46
193,"Traditional Wings, Snack/Small, with Signature
Sauce/Seasoning",,360-880,20-59,0-6,44-81
194,Buffalo Chips,,290,14,38,4
195,"Caesar Side Salad, with Light Caesar Dressing",,330,21,30,8
196,Chips and Salsa,,530,23,73,8
197,French Fries,,330,15,44,4
198,Loaded Cup of Chili,,440,27,19,28
199,Potato Wedges,,370,19,45,6
200,"Garden Side Salad, with Lemon Vinaigrette",,370,25,29,7
201,"Boneless Wings, with Signature Sauce or Seasoning
",,330-440,17-27,27-30,17-18
202,"Traditional Wings, with Signature Sauce or Seasoning
",,290-390,16-26,0-3,36
203,Loaded Ice Cream,,490,21,71,6
204,Mini Chocolate Fudge Cake,,320,11,56,3
205,Ginger Lemonade,,150,0,38,0
206,Blueberry Mint Lemonade,,200,0,50,0
207,Strawberry Lemonade,,200,0,49,0
208,Black Cherry Limeade,,220,0,55,0
209,Citrus Limeade,,160,0,42,0
210,Peach Smash,,210,0,31,0
211,Cucumber Cooler,,180,0,24,0
212,Heatwave,,240,0,39,1
213,Very Berry Mule,,180,0,21,0
214,Black Cherry Mojito,,250,0,40,0
215,Buffalo Zoo,,240,0,30,0
216,Knockout Punch,,360,0,57,1
217,Top Shelf Long Island Ice Tea,,290,0,35,0
218,B-Dubs Bloody Mary,,150,2,9,2
219,Strawberry Kick Coronarita,,310,0,39,1
220,Cerveza Mary,,190,0.5,16,2
221,Apple Jack Cider,,220,0,30,0
222,Bourbon Blueberry Daiquiri,,350,0,64,0
223,Mudslide,,500,21,50,4
224,Strawberry Daiquiri,,390,3,65,0
225,Frozen Blue Hawaiian,,390,8,52,2
226,Zombie,,330,0,46,1
227,Bahama Mama,,230,0,34,1
228,"House Margarita, available frozen or on the rocks",,270,0,35,0
229,Twisted Frozen Margarita,,390,0,66,1
230,Top Shelf Margarita,,250,0,31,0
231,Blue Wave Margarita,,270,0,37,0
232,Strawberry Margarita,,320,0,47,0
233,Platinum Margarita,,260,0,37,0
